text,label
新出的真人秀越来越难看，嘉宾尬聊，果断弃了。,消极
廉价耳机质量太差，味道刺鼻，完全不值这个价，踩雷了。,消极
那家快餐连锁体验极差，排队两小时味道一般，绝对不会再来。,消极
这次航班太坑了，司机绕路，耽误了整个行程。,消极
这次航班太坑了，司机绕路，耽误了整个行程。,消极
维修师傅效率很高，超出预期，必须给个五星好评。,积极
智能手表用了一个月充不进电，售后还不给修。,消极
那部注水剧看得我如坐针毡，广告植入生硬，浪费两小时。,消极
今天打卡了深夜食堂，招牌面值得一试，摆盘精致，体验很棒。,积极
今天打卡了私房菜馆，招牌面值得一试，食材新鲜，体验很棒。,积极
新出的真人秀越来越难看，嘉宾尬聊，果断弃了。,消极
新入手的机械键盘，显示效果细腻，生产力直接翻倍。,积极
那家民宿体验很差，卫生堪忧，完全不是想象的那样。,消极
网约车体验不错，司机专业，全程很舒适。,积极
楼下烧烤摊的牛排太正宗了，分量足，下次还要带朋友来。,积极
外卖点了黄焖鸡，包装严实，配送也准时，好评！,积极
那部续集越来越难看，毫无新意，果断弃了。,消极
无线耳机用了一个月屏幕出现条纹，售后还不给修。,消极
这部综艺越来越难看，剧本痕迹太重，果断弃了。,消极
某网红景点体验很差，宰客严重，完全不是想象的那样。,消极
平板电脑用了一个月充不进电，售后还不给修。,消极
那个民宿住了一晚就受不了，WiFi连不上，要求换房也不管。,消极
智能手表用了一个月电池鼓包，售后还不给修。,消极
这款包包性价比超高，包装都很满意，强烈推荐！,积极
网约车体验不错，沿途风景好，全程很舒适。,积极
充电宝用了半个月，效果很明显，完全值这个价，会回购的。,积极
这家网红店体验极差，服务员态度恶劣，绝对不会再来。,消极
医院护士效率很高，流程清晰，必须给个五星好评。,积极
推荐牛排太难吃了，肉很柴，价格还贵，避雷。,消极
筋膜枪 advertised得很好，实际效果微乎其微，非常失望。,消极
入住了温泉度假村，设施齐全，前台态度很好，下次还会选择。,积极
外卖点了沙拉轻食，味道不错，配送也准时，好评！,积极
维修师傅效率很高，超出预期，必须给个五星好评。,积极
这部综艺越来越难看，嘉宾尬聊，果断弃了。,消极
今天打卡了网红餐厅，手工包子值得一试，性价比高，体验很棒。,积极
售后客服态度特别好，很有耐心，问题很快就解决了。,积极
翻拍的电影看得我如坐针毡，剧情逻辑混乱，浪费两小时。,消极
那家快餐连锁体验极差，排队两小时味道一般，绝对不会再来。,消极
推荐牛排太难吃了，肉很柴，价格还贵，避雷。,消极
这次航班体验不错，准点率高，全程很舒适。,积极
刚看完那部科幻大片，剧情紧凑，女主角演技炸裂，强烈推荐！,积极
刚看完这部国产片，特效震撼，女主角演技炸裂，强烈推荐！,积极
无线耳机用了一个月按键失灵，售后还不给修。,消极
在天猫买的书籍到了，物流速度超出预期，客服也很耐心。,积极
翻拍的电影看得我如坐针毡，广告植入生硬，浪费两小时。,消极
银行柜台态度恶劣，流程繁琐，投诉无门。,消极
那家快餐连锁体验极差，排队两小时味道一般，绝对不会再来。,消极
空气炸锅 advertised得很好，实际画质模糊，非常失望。,消极
招牌烤鱼太难吃了，肉很柴，价格还贵，避雷。,消极
便携音箱用了三个月，做工精致，在同价位里算是天花板了。,积极
某网红景点体验很差，卫生堪忧，完全不是想象的那样。,消极
刚看完新上映的动画，特效震撼，主演演技炸裂，强烈推荐！,积极
九寨沟太美了，美食众多，这次旅行超值，推荐给大家。,积极
外卖麻辣烫，少送了东西，投诉也没用，差评。,消极
这家网红店体验极差，服务员态度恶劣，绝对不会再来。,消极
银行柜台态度恶劣，流程繁琐，投诉无门。,消极
新出的真人秀越来越难看，剪辑混乱，果断弃了。,消极
平板电脑用了一个月电池鼓包，售后还不给修。,消极
技术支持态度特别好，很有耐心，问题很快就解决了。,积极
智能手表用了一个月屏幕出现条纹，售后还不给修。,消极
这款包包性价比超高，包装都很满意，强烈推荐！,积极
智能手表用了一个月屏幕出现条纹，售后还不给修。,消极
这次航班体验不错，沿途风景好，全程很舒适。,积极
这款包包性价比超高，续航都很满意，强烈推荐！,积极
新入手的4K显示器，多设备切换流畅，生产力直接翻倍。,积极
刚看完这部国产片，剧情紧凑，主演演技炸裂，强烈推荐！,积极
筋膜枪用了半个月，非常便携，完全值这个价，会回购的。,积极
维修师傅效率很高，流程清晰，必须给个五星好评。,积极
银行柜台态度恶劣，爱答不理，投诉无门。,消极
快递小哥态度特别好，很有耐心，问题很快就解决了。,积极
新出的真人秀越来越难看，嘉宾尬聊，果断弃了。,消极
新入手的4K显示器，显示效果细腻，生产力直接翻倍。,积极
这款护肤品性价比超高，手感都很满意，强烈推荐！,积极
